state,date,tweet_count,total_likes,sentiment_avg,total_retweets,total_followers,most_common_issues,most_common_derogatory_language,most_common_adjectives,top_10_user_screen_name,most_common_hashtag,top_hashtags,top_cleaned_tweet,states_code
Nebraska,2020-10-21,18,13.0,-0.0599,4.0,33780.0,china,"criminal, criminal",bankrupt trumpisacriminal,"['writer6', 'mr_bluetown', 'RealZongkers', 'chrisarnesonsho', 'PokornyKathy', 'kremitGreens', 'AlexandersJam']",#trump,['#trump'],['joebiden cornmaze help him hes lost'],NE
Nebraska,2020-10-22,25,22.0,0.337292,1.0,278261.0,woman,kill,poor same white rich white rich other,"['CTRexPope', 'MAMA_Nebraska', 'realateachick', 'SYLTales', 'WOWT6News', 'bobhanaka', 'salpie', 'tomatosauz', 'FOX42KPTM', 'lawofscott']",#trump,['#trump'],['if you are a minority a poc lgtbq if you are poor if you are a woman the thinks you dont matter they believe you dont deserve the same rights as white rich men a vote for the gop amp trump is a vote for white rich men only and a vote against every other american'],NE
Nebraska,2020-10-23,47,38.0,0.18031063829787236,14.0,313663.0,law,"rage, war",last,"['salpie', 'realateachick', 'zayasdad', 'SYLTales', 'Chris_Sorick', '949to402', 'BillHic77873626', 'WOWT6News', 'AndyMihm', 'writer6']",#biden,['#biden'],['i am thinking as trump and as biden themutedebate'],NE
Nebraska,2020-10-24,25,29.0,0.040008,2.0,28438.0,covid,war,american next,"['realateachick', 'salpie', 'SYLTales', 'TheOrdinarySun', 'jmleeds', 'dylankendall12', 'FBCkearneymo', 'LeeZee_Bee', 'Chris_Sorick', 'Edward6633']",#biden,['#biden'],['after the debate my viewers and i held a spirited discussion on a wide range of topics debates trump biden discussion afterparty sylranch syltales billstone'],NE
Nebraska,2020-10-25,11,7.0,0.19922727272727273,4.0,10103.0,bluewave,war,bebest,"['realateachick', 'jmleeds', 'desjardins7', '314longnecker', 'salpie']",#biden,['#biden'],['who gets your vote or who did you vote for presidentialelection presidentialpoll donaldtrump joebiden biden'],NE
Nebraska,2020-10-26,14,16.0,0.1602714285714286,6.0,22231.0,mask,rage,big,"['chrisarnesonsho', 'writer6', 'mr_bluetown', 'thirkieldh', 'desjardins7', 'TheGornShip', 'salpie', 'GingerWoodWorks', '949to402', 'zayasdad']",#trump,['#trump'],['electricity podcast podbean podernfamily nfltwitter fantasyfootball usa electionday eleccionesbolivia trumpislosing trump biden trump bidenharrislandslide politics football usafacts usatoday seahawks mask unmask america'],NE
Nebraska,2020-10-27,22,69.0,-0.10167727272727273,13.0,58945.0,economy,"hate, rage, disgusting",joebiden,"['thecultandcrue', 'MAMA_Nebraska', 'realateachick', 'NebFarmerDan', 'KevWarmhold', 'mr_bluetown', 'whitepatrick', 'FOX42KPTM', 'ward069', 'TheFillCollins']",#biden,['#biden'],['old school oldschool grappling bjj martialarts trump biden politicssuck letsroll midamerica martial arts'],NE
Nebraska,2020-10-28,24,37.0,-0.005825000000000004,27.0,40956.0,covid,riot,joebiden,"['realateachick', 'mr_bluetown', 'red16327', 'MoreWhit', 'jmleeds', 'VickyGalindo12', 'FreeDom64582392', 'WolfOfWestOmaha', 'ProgressiRising', 'ReginalLawrence']",#trump,['#trump'],['who will be our next president presidentialelection donaldtrump trump joebiden biden'],NE
Nebraska,2020-10-29,14,4.0,0.04660714285714286,1.0,16390.0,"china, bluewave",war,joebiden,"['realateachick', 'salpie', 'FBCkearneymo', 'Rodgonzalez2006', 'aaronwarnock', 'mr_bluetown', 'writer6', 'RealZongkers', 'NTVsSaraKirkley']","#halloween,#electionday,#president,#presidentialelection2020,#trump,#biden","['#minnesota,#wisconsin,#arizona,#pennsylvania,#florida,#presidentialelection2020,#trump,#biden,#trump2020,#biden2020']",['if you live in minnesota wisconsin arizona pennsylvania florida who are you voting for presidentialelection donaldtrump joebiden trump biden'],NE
Nebraska,2020-10-30,17,12.0,0.1411058823529412,2.0,19489.0,"healthcare, covid, health",hate,less less other,"['jmleeds', 'mauricebailey', 'TheGornShip', 'MontessoriAngel', '_bmk9_', 'desjardins7', 'salpie', 'KevWarmhold', 'CF_Hokie18', 'deanohenson']",#trump,['#trump'],['naa whether you like biden trump kanye or jorgensen i still love you we dont need this divisiveness we need less dehumanization less tribalism yet with a recognition of individuality amp appreciation of persons uniqueness learn from each other'],NE
